Subfamily,Genus Name Pub,Species Name Pub,Status,Exotic,Island Name,Island Group,Archipelago,Biogeographic realm,Lat,Long
Dolichoderinae,Technomyrmex,brunneus,Land + Island,Invasive,Yagaji-shima,-,Okinawa Islands,Temperate Northern Pacific,26.663641,128.01317
Dolichoderinae,Technomyrmex,brunneus,Land + Island,Invasive,Tokashiki-jima,Kerama Islands,Okinawa Islands,Temperate Northern Pacific,26.364512,127.147575
Dolichoderinae,Technomyrmex,brunneus,Land + Island,Invasive,Kume-jima,Okinawa Islands,Ryukyu Islands,Temperate Northern Pacific,26.349982,126.773293
Dolichoderinae,Technomyrmex,brunneus,Land + Island,Invasive,Miyako-jima,Miyako Islands,Sakishima Islands,Temperate Northern Pacific,24.774041,125.332376
Dolichoderinae,Technomyrmex,brunneus,Land + Island,Invasive,Ikema-jima,Miyako Islands,Sakishima Islands,Temperate Northern Pacific,24.930295,125.243101
Ponerinae,Hypoponera,nippona,Land + Island,Native,Iriomote,Yaeyama Islands,Sakishima Islands,Temperate Northern Pacific,24.335813,123.814688
Dolichoderinae,Technomyrmex,brunneus,Land + Island,Invasive,Irabu,Miyako Islands,Sakishima Islands,Temperate Northern Pacific,24.829506,125.179153
Dolichoderinae,Technomyrmex,brunneus,Land + Island,Invasive,Kurima-jima,Miyako Islands,Sakishima Islands,Temperate Northern Pacific,24.237904,124.010534
Dolichoderinae,Technomyrmex,brunneus,Land + Island,Invasive,Tarama,Miyako Islands,Sakishima Islands,Temperate Northern Pacific,24.656982,124.699288
Dolichoderinae,Technomyrmex,brunneus,Land + Island,Invasive,Ishigaki,Yaeyama Islands,Sakishima Islands,Temperate Northern Pacific,24.433381,124.205545
Dolichoderinae,Technomyrmex,brunneus,Land + Island,Invasive,Iriomote,Yaeyama Islands,Sakishima Islands,Temperate Northern Pacific,24.335813,123.814688
Dolichoderinae,Technomyrmex,brunneus,Land + Island,Invasive,Taketomi-jima,Yaeyama Islands,Sakishima Islands,Temperate Northern Pacific,24.325062,124.088119
Dolichoderinae,Technomyrmex,brunneus,Land + Island,Invasive,Kuroshima (Okinawa),Yaeyama Islands,Sakishima Islands,Temperate Northern Pacific,24.233926,124.014011
Dolichoderinae,Technomyrmex,brunneus,Land + Island,Invasive,Kohama-jima,Yaeyama Islands,Sakishima Islands,Temperate Northern Pacific,32.964045,132.073693
Dolichoderinae,Technomyrmex,brunneus,Land + Island,Invasive,Hateruma,Yaeyama Islands,Sakishima Islands,Temperate Northern Pacific,24.05851,123.782183
